200:rebrand	Apply product rebrand	2026-07-26T10:11:25.6804904Z ^[[36;1m    except UnicodeDecodeError:^[[0m
477:rebrand	Commit rebrand	2026-07-26T10:11:39.2324826Z error: failed to push some refs to 'https://github.com/resarytrew/PaperFlow-Stream'
478:rebrand	Commit rebrand	2026-07-26T10:11:39.2353343Z ##[error]Process completed with exit code 1.
rebrand	Verify frontend and Python syntax	2026-07-26T10:11:37.3485204Z computing gzip size...
rebrand	Verify frontend and Python syntax	2026-07-26T10:11:37.5858607Z ^[[2mdist/^[[22m^[[32mindex.html                 ^[[39m^[[1m^[[2m  0.55 kB^[[22m^[[1m^[[22m^[[2m │ gzip:  0.34 kB^[[22m
rebrand	Verify frontend and Python syntax	2026-07-26T10:11:37.5860150Z ^[[2mdist/^[[22m^[[2massets/^[[22m^[[35mindex-DhhaW4Cq.css  ^[[39m^[[1m^[[2m 16.34 kB^[[22m^[[1m^[[22m^[[2m │ gzip:  4.20 kB^[[22m
rebrand	Verify frontend and Python syntax	2026-07-26T10:11:37.5861710Z ^[[2mdist/^[[22m^[[2massets/^[[22m^[[36mindex-BcQd8ilU.js   ^[[39m^[[1m^[[2m256.28 kB^[[22m^[[1m^[[22m^[[2m │ gzip: 82.71 kB^[[22m
rebrand	Verify frontend and Python syntax	2026-07-26T10:11:37.5862566Z ^[[32m✓ built in 1.40s^[[39m
rebrand	Record remaining legacy references	﻿2026-07-26T10:11:38.0622183Z ##[group]Run grep -RInE 'PaperFlow|PAPERFLOW|paperflow' . \
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0622671Z ^[[36;1mgrep -RInE 'PaperFlow|PAPERFLOW|paperflow' . \^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0623024Z ^[[36;1m  --exclude-dir=.git \^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0623310Z ^[[36;1m  --exclude=brand-audit.txt \^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0623607Z ^[[36;1m  --exclude=brand-audit-after.txt \^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0623911Z ^[[36;1m  --exclude=package-lock.json \^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0624207Z ^[[36;1m  --exclude=rebrand-chistovik.yml \^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0624681Z ^[[36;1m  --exclude=audit-brand.yml \^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0624974Z ^[[36;1m  > brand-audit-after.txt || true^[[0m
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0673494Z shell: /usr/bin/bash --noprofile --norc -e -o pipefail {0}
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0673850Z env:
rebrand	Record remaining legacy references	2026-07-26T10:11:38.0674133Z   pythonLocation: /opt/hostedtoolcache/Python/3.11.15/x64
